state,x,y
Andhra Pradesh,-120.0, -143.0
Arunachal Pradesh,342.0, 139.0
Assam,315.0, 94.0
Bihar,78.0, 77.0
Chhattisgarh,-32.0, -10.0
Goa,-278.0, -124.0
Gujarat,-349.0, 26.0
Haryana,-184.0, 148.0
Himachal Pradesh,-156.0, 203.0
Jharkhand,78.0, 33.0
Karnataka,-236.0, -150.0
Kerala,-198.0, -246.0
Madhya Pradesh,-153.0, 21.0
Maharashtra,-274.0, -62.0
Manipur,345.0, 63.0
Meghalaya,250.0, 80.0
Mizoram,322.0, 24.0
Nagaland,355.0, 94.0
Odisha,54.0, -26.0
Punjab,-227.0, 181.0
Rajasthan,-286.0, 89.0
Sikkim,176.0, 124.0
Tamil Nadu,-144.0, -232.0
Telangana,-135.0, -86.0
Tripura, 273.0, 46.0
Uttar Pradesh,-55.0, 98.0
Uttarakhand,-101.0, 164.0
West Bengal,166.0, 23.0















